	source	target	weight	edge_sample	edge_color
0	Actinomyces gerencseriae	Actinomyces dentalis	0.836660026534	Subgingival_plaque	#ffac5c
1	Actinomyces johnsonii	Actinomyces dentalis	0.836660026534	Subgingival_plaque	#ffac5c
2	Actinomyces johnsonii	Actinomyces gerencseriae	1.0	Subgingival_plaque	#ffac5c
3	Actinomyces massiliensis	Actinomyces dentalis	0.836660026534	Mixed	#cccccc
4	Actinomyces massiliensis	Actinomyces gerencseriae	1.0	Mixed	#cccccc
5	Actinomyces massiliensis	Actinomyces johnsonii	1.0	Mixed	#cccccc
6	Actinomyces meyeri	Actinomyces dentalis	0.836660026534	Subgingival_plaque	#ffac5c
7	Actinomyces meyeri	Actinomyces gerencseriae	1.0	Subgingival_plaque	#ffac5c
8	Actinomyces meyeri	Actinomyces johnsonii	1.0	Subgingival_plaque	#ffac5c
9	Actinomyces meyeri	Actinomyces massiliensis	1.0	Mixed	#cccccc
10	Actinomyces naeslundii	Actinomyces dentalis	0.836660026534	Mixed	#cccccc
11	Actinomyces naeslundii	Actinomyces gerencseriae	1.0	Mixed	#cccccc
12	Actinomyces naeslundii	Actinomyces johnsonii	1.0	Mixed	#cccccc
13	Actinomyces naeslundii	Actinomyces massiliensis	1.0	Supragingival_plaque	#ff8646
14	Actinomyces naeslundii	Actinomyces meyeri	1.0	Mixed	#cccccc
15	Actinomyces sp. oral taxon 170	Actinomyces dentalis	0.836660026534	Mixed	#cccccc
16	Actinomyces sp. oral taxon 170	Actinomyces gerencseriae	1.0	Mixed	#cccccc
17	Actinomyces sp. oral taxon 170	Actinomyces johnsonii	1.0	Mixed	#cccccc
18	Actinomyces sp. oral taxon 170	Actinomyces massiliensis	1.0	Supragingival_plaque	#ff8646
19	Actinomyces sp. oral taxon 170	Actinomyces meyeri	1.0	Mixed	#cccccc
20	Actinomyces sp. oral taxon 170	Actinomyces naeslundii	1.0	Supragingival_plaque	#ff8646
21	Actinomyces sp. oral taxon 171	Actinomyces dentalis	0.836660026534	Mixed	#cccccc
22	Actinomyces sp. oral taxon 171	Actinomyces gerencseriae	1.0	Mixed	#cccccc
23	Actinomyces sp. oral taxon 171	Actinomyces johnsonii	1.0	Mixed	#cccccc
24	Actinomyces sp. oral taxon 171	Actinomyces massiliensis	1.0	Supragingival_plaque	#ff8646
25	Actinomyces sp. oral taxon 171	Actinomyces meyeri	1.0	Mixed	#cccccc
26	Actinomyces sp. oral taxon 171	Actinomyces naeslundii	1.0	Supragingival_plaque	#ff8646
27	Actinomyces sp. oral taxon 171	Actinomyces sp. oral taxon 170	1.0	Supragingival_plaque	#ff8646
28	Actinomyces sp. oral taxon 175	Actinomyces dentalis	0.836660026534	Mixed	#cccccc
29	Actinomyces sp. oral taxon 175	Actinomyces gerencseriae	1.0	Mixed	#cccccc
30	Actinomyces sp. oral taxon 175	Actinomyces johnsonii	1.0	Mixed	#cccccc
31	Actinomyces sp. oral taxon 175	Actinomyces massiliensis	1.0	Supragingival_plaque	#ff8646
32	Actinomyces sp. oral taxon 175	Actinomyces meyeri	1.0	Mixed	#cccccc
33	Actinomyces sp. oral taxon 175	Actinomyces naeslundii	1.0	Supragingival_plaque	#ff8646
34	Actinomyces sp. oral taxon 175	Actinomyces sp. oral taxon 170	1.0	Supragingival_plaque	#ff8646
35	Actinomyces sp. oral taxon 175	Actinomyces sp. oral taxon 171	1.0	Supragingival_plaque	#ff8646
36	Actinomyces sp. oral taxon 414	Actinomyces israelii	1.0	Subgingival_plaque	#ffac5c
37	Actinomyces sp. oral taxon 448	Actinomyces israelii	1.0	Mixed	#cccccc
38	Actinomyces sp. oral taxon 448	Actinomyces sp. oral taxon 414	1.0	Mixed	#cccccc
39	Actinomyces sp. oral taxon 848	Actinomyces dentalis	0.836660026534	Mixed	#cccccc
40	Actinomyces sp. oral taxon 848	Actinomyces gerencseriae	1.0	Mixed	#cccccc
41	Actinomyces sp. oral taxon 848	Actinomyces johnsonii	1.0	Mixed	#cccccc
42	Actinomyces sp. oral taxon 848	Actinomyces massiliensis	1.0	Supragingival_plaque	#ff8646
43	Actinomyces sp. oral taxon 848	Actinomyces meyeri	1.0	Mixed	#cccccc
44	Actinomyces sp. oral taxon 848	Actinomyces naeslundii	1.0	Supragingival_plaque	#ff8646
45	Actinomyces sp. oral taxon 848	Actinomyces sp. oral taxon 170	1.0	Supragingival_plaque	#ff8646
46	Actinomyces sp. oral taxon 848	Actinomyces sp. oral taxon 171	1.0	Supragingival_plaque	#ff8646
47	Actinomyces sp. oral taxon 848	Actinomyces sp. oral taxon 175	1.0	Supragingival_plaque	#ff8646
48	Actinomyces sp. ph3	Actinomyces sp. oral taxon 181	1.0	Tongue_dorsum	#ff2f18
49	Aggregatibacter actinomycetemcomitans	Acinetobacter baumannii	0.845154254729	Mixed	#cccccc
50	Aggregatibacter actinomycetemcomitans	Actinomyces gerencseriae	0.836660026534	Mixed	#cccccc
51	Aggregatibacter actinomycetemcomitans	Actinomyces johnsonii	0.836660026534	Mixed	#cccccc
52	Aggregatibacter actinomycetemcomitans	Actinomyces massiliensis	0.836660026534	Mixed	#cccccc
53	Aggregatibacter actinomycetemcomitans	Actinomyces meyeri	0.836660026534	Mixed	#cccccc
54	Aggregatibacter actinomycetemcomitans	Actinomyces naeslundii	0.836660026534	Mixed	#cccccc
55	Aggregatibacter actinomycetemcomitans	Actinomyces sp. oral taxon 170	0.836660026534	Mixed	#cccccc
56	Aggregatibacter actinomycetemcomitans	Actinomyces sp. oral taxon 171	0.836660026534	Mixed	#cccccc
57	Aggregatibacter actinomycetemcomitans	Actinomyces sp. oral taxon 175	0.836660026534	Mixed	#cccccc
58	Aggregatibacter actinomycetemcomitans	Actinomyces sp. oral taxon 848	0.836660026534	Mixed	#cccccc
59	Aggregatibacter aphrophilus	Actinomyces dentalis	0.836660026534	Mixed	#cccccc
60	Aggregatibacter aphrophilus	Actinomyces gerencseriae	1.0	Mixed	#cccccc
61	Aggregatibacter aphrophilus	Actinomyces johnsonii	1.0	Mixed	#cccccc
62	Aggregatibacter aphrophilus	Actinomyces massiliensis	1.0	Mixed	#cccccc
63	Aggregatibacter aphrophilus	Actinomyces meyeri	1.0	Mixed	#cccccc
64	Aggregatibacter aphrophilus	Actinomyces naeslundii	1.0	Mixed	#cccccc
65	Aggregatibacter aphrophilus	Actinomyces sp. oral taxon 170	1.0	Mixed	#cccccc
66	Aggregatibacter aphrophilus	Actinomyces sp. oral taxon 171	1.0	Mixed	#cccccc
67	Aggregatibacter aphrophilus	Actinomyces sp. oral taxon 175	1.0	Mixed	#cccccc
68	Aggregatibacter aphrophilus	Actinomyces sp. oral taxon 848	1.0	Mixed	#cccccc
69	Aggregatibacter aphrophilus	Aggregatibacter actinomycetemcomitans	0.836660026534	Mixed	#cccccc
70	Aggregatibacter segnis	Actinomyces dentalis	0.836660026534	Mixed	#cccccc
71	Aggregatibacter segnis	Actinomyces gerencseriae	1.0	Mixed	#cccccc
72	Aggregatibacter segnis	Actinomyces johnsonii	1.0	Mixed	#cccccc
73	Aggregatibacter segnis	Actinomyces massiliensis	1.0	Supragingival_plaque	#ff8646
74	Aggregatibacter segnis	Actinomyces meyeri	1.0	Mixed	#cccccc
75	Aggregatibacter segnis	Actinomyces naeslundii	1.0	Supragingival_plaque	#ff8646
76	Aggregatibacter segnis	Actinomyces sp. oral taxon 170	1.0	Supragingival_plaque	#ff8646
77	Aggregatibacter segnis	Actinomyces sp. oral taxon 171	1.0	Supragingival_plaque	#ff8646
78	Aggregatibacter segnis	Actinomyces sp. oral taxon 175	1.0	Supragingival_plaque	#ff8646
79	Aggregatibacter segnis	Actinomyces sp. oral taxon 848	1.0	Supragingival_plaque	#ff8646
80	Aggregatibacter segnis	Aggregatibacter actinomycetemcomitans	0.836660026534	Mixed	#cccccc
81	Aggregatibacter segnis	Aggregatibacter aphrophilus	1.0	Mixed	#cccccc
82	Atopobium sp. oral taxon 199	Actinomyces sp. HPA0247	1.0	Mixed	#cccccc
83	Bacteroides caccae	Alistipes putredinis	0.816496580928	Stool	#e8cb72
84	Bacteroides dorei	Alistipes shahii	1.0	Stool	#e8cb72
85	Bacteroides gallinarum	Bacteroides coprocola	1.0	Stool	#e8cb72
86	Bacteroides intestinalis	Alistipes shahii	1.0	Stool	#e8cb72
87	Bacteroides intestinalis	Bacteroides dorei	1.0	Stool	#e8cb72
88	Bacteroides massiliensis	Alistipes putredinis	0.816496580928	Stool	#e8cb72
89	Bacteroides stercoris	Alistipes putredinis	1.0	Stool	#e8cb72
90	Bacteroides stercoris	Bacteroides caccae	0.816496580928	Stool	#e8cb72
91	Bacteroides stercoris	Bacteroides massiliensis	0.816496580928	Stool	#e8cb72
92	Bacteroides uniformis	Alistipes shahii	1.0	Stool	#e8cb72
93	Bacteroides uniformis	Bacteroides dorei	1.0	Stool	#e8cb72
94	Bacteroides uniformis	Bacteroides intestinalis	1.0	Stool	#e8cb72
95	Bacteroides vulgatus	Alistipes putredinis	0.816496580928	Stool	#e8cb72
96	Bacteroides vulgatus	Bacteroides caccae	1.0	Stool	#e8cb72
97	Bacteroides vulgatus	Bacteroides stercoris	0.816496580928	Stool	#e8cb72
98	Campylobacter curvus	Bacteroides pyogenes	0.836660026534	Mixed	#cccccc
99	Campylobacter mucosalis	Actinomyces timonensis	1.0	Mixed	#cccccc
100	Campylobacter sp. 10_1_50	Actinomyces sp. HPA0247	1.0	Mixed	#cccccc
101	Campylobacter sp. 10_1_50	Atopobium sp. oral taxon 199	1.0	Mixed	#cccccc
102	Campylobacter sp. FOBRC14	Campylobacter curvus	0.816496580928	Mixed	#cccccc
103	Capnocytophaga sp. oral taxon 323	Actinobacillus minor	0.816496580928	Mixed	#cccccc
104	Capnocytophaga sp. oral taxon 324	Acinetobacter baumannii	1.0	Mixed	#cccccc
105	Capnocytophaga sp. oral taxon 324	Aggregatibacter actinomycetemcomitans	0.845154254729	Mixed	#cccccc
106	Capnocytophaga sp. oral taxon 335	Alistipes shahii	1.0	Mixed	#cccccc
107	Capnocytophaga sp. oral taxon 335	Bacteroides dorei	1.0	Mixed	#cccccc
108	Capnocytophaga sp. oral taxon 335	Bacteroides intestinalis	1.0	Mixed	#cccccc
109	Capnocytophaga sp. oral taxon 335	Bacteroides uniformis	1.0	Mixed	#cccccc
110	Capnocytophaga sp. oral taxon 336	Acinetobacter baumannii	0.845154254729	Mixed	#cccccc
111	Capnocytophaga sp. oral taxon 336	Capnocytophaga sp. oral taxon 323	0.836660026534	Mixed	#cccccc
112	Capnocytophaga sp. oral taxon 336	Capnocytophaga sp. oral taxon 324	0.845154254729	Subgingival_plaque	#ffac5c
113	Capnocytophaga sp. oral taxon 380	Actinobacillus minor	0.816496580928	Mixed	#cccccc
114	Capnocytophaga sp. oral taxon 380	Capnocytophaga sp. oral taxon 323	1.0	Supragingival_plaque	#ff8646
115	Capnocytophaga sp. oral taxon 380	Capnocytophaga sp. oral taxon 336	0.836660026534	Mixed	#cccccc
116	Capnocytophaga sp. oral taxon 412	Acinetobacter baumannii	1.0	Mixed	#cccccc
117	Capnocytophaga sp. oral taxon 412	Aggregatibacter actinomycetemcomitans	0.845154254729	Mixed	#cccccc
118	Capnocytophaga sp. oral taxon 412	Capnocytophaga sp. oral taxon 324	1.0	Mixed	#cccccc
119	Capnocytophaga sp. oral taxon 412	Capnocytophaga sp. oral taxon 336	0.845154254729	Mixed	#cccccc
120	Cardiobacterium hominis	Aggregatibacter actinomycetemcomitans	0.845154254729	Mixed	#cccccc
121	Cardiobacterium hominis	Capnocytophaga sp. oral taxon 324	1.0	Subgingival_plaque	#ffac5c
122	Cardiobacterium hominis	Capnocytophaga sp. oral taxon 336	0.845154254729	Subgingival_plaque	#ffac5c
123	Cardiobacterium hominis	Capnocytophaga sp. oral taxon 412	1.0	Mixed	#cccccc
124	Cardiobacterium valvarum	Actinomyces dentalis	0.836660026534	Subgingival_plaque	#ffac5c
125	Cardiobacterium valvarum	Actinomyces gerencseriae	1.0	Subgingival_plaque	#ffac5c
126	Cardiobacterium valvarum	Actinomyces johnsonii	1.0	Subgingival_plaque	#ffac5c
127	Cardiobacterium valvarum	Actinomyces massiliensis	1.0	Mixed	#cccccc
128	Cardiobacterium valvarum	Actinomyces meyeri	1.0	Subgingival_plaque	#ffac5c
129	Cardiobacterium valvarum	Actinomyces naeslundii	1.0	Mixed	#cccccc
130	Cardiobacterium valvarum	Actinomyces sp. oral taxon 170	1.0	Mixed	#cccccc
131	Cardiobacterium valvarum	Actinomyces sp. oral taxon 171	1.0	Mixed	#cccccc
132	Cardiobacterium valvarum	Actinomyces sp. oral taxon 175	1.0	Mixed	#cccccc
133	Cardiobacterium valvarum	Actinomyces sp. oral taxon 848	1.0	Mixed	#cccccc
134	Cardiobacterium valvarum	Aggregatibacter actinomycetemcomitans	0.836660026534	Mixed	#cccccc
135	Cardiobacterium valvarum	Aggregatibacter aphrophilus	1.0	Mixed	#cccccc
136	Cardiobacterium valvarum	Aggregatibacter segnis	1.0	Mixed	#cccccc
137	Carnobacterium divergens	Brochothrix thermosphacta	1.0	Saliva	#cbe486
138	Clostridium sp. L2-50	Alistipes shahii	1.0	Stool	#e8cb72
139	Clostridium sp. L2-50	Bacteroides dorei	1.0	Stool	#e8cb72
140	Clostridium sp. L2-50	Bacteroides intestinalis	1.0	Stool	#e8cb72
141	Clostridium sp. L2-50	Bacteroides uniformis	1.0	Stool	#e8cb72
142	Clostridium sp. L2-50	Capnocytophaga sp. oral taxon 335	1.0	Mixed	#cccccc
143	Corynebacterium argentoratense	Actinomyces israelii	1.0	Mixed	#cccccc
144	Corynebacterium argentoratense	Actinomyces sp. oral taxon 414	1.0	Mixed	#cccccc
145	Corynebacterium argentoratense	Actinomyces sp. oral taxon 448	1.0	Mixed	#cccccc
146	Corynebacterium durum	Actinomyces dentalis	0.836660026534	Mixed	#cccccc
147	Corynebacterium durum	Actinomyces gerencseriae	1.0	Mixed	#cccccc
148	Corynebacterium durum	Actinomyces johnsonii	1.0	Mixed	#cccccc
149	Corynebacterium durum	Actinomyces massiliensis	1.0	Supragingival_plaque	#ff8646
150	Corynebacterium durum	Actinomyces meyeri	1.0	Mixed	#cccccc
151	Corynebacterium durum	Actinomyces naeslundii	1.0	Supragingival_plaque	#ff8646
152	Corynebacterium durum	Actinomyces sp. oral taxon 170	1.0	Supragingival_plaque	#ff8646
153	Corynebacterium durum	Actinomyces sp. oral taxon 171	1.0	Supragingival_plaque	#ff8646
154	Corynebacterium durum	Actinomyces sp. oral taxon 175	1.0	Supragingival_plaque	#ff8646
155	Corynebacterium durum	Actinomyces sp. oral taxon 848	1.0	Supragingival_plaque	#ff8646
156	Corynebacterium durum	Aggregatibacter actinomycetemcomitans	0.836660026534	Mixed	#cccccc
157	Corynebacterium durum	Aggregatibacter aphrophilus	1.0	Mixed	#cccccc
158	Corynebacterium durum	Aggregatibacter segnis	1.0	Supragingival_plaque	#ff8646
159	Corynebacterium durum	Cardiobacterium valvarum	1.0	Mixed	#cccccc
160	Corynebacterium kroppenstedtii	Actinobacillus minor	0.816496580928	Mixed	#cccccc
161	Corynebacterium kroppenstedtii	Capnocytophaga sp. oral taxon 323	1.0	Mixed	#cccccc
162	Corynebacterium kroppenstedtii	Capnocytophaga sp. oral taxon 336	0.836660026534	Mixed	#cccccc
163	Corynebacterium kroppenstedtii	Capnocytophaga sp. oral taxon 380	1.0	Mixed	#cccccc
164	Corynebacterium sp. GD7	Actinomyces timonensis	1.0	Mixed	#cccccc
165	Corynebacterium sp. GD7	Campylobacter mucosalis	1.0	Mixed	#cccccc
166	Cryptobacterium curtum	Campylobacter curvus	0.816496580928	Mixed	#cccccc
167	Cryptobacterium curtum	Campylobacter sp. FOBRC14	1.0	Mixed	#cccccc
168	Dialister micraerophilus	Actinomyces sp. HPA0247	1.0	Mixed	#cccccc
169	Dialister micraerophilus	Atopobium sp. oral taxon 199	1.0	Mixed	#cccccc
170	Dialister micraerophilus	Campylobacter sp. 10_1_50	1.0	Mixed	#cccccc
171	Eggerthia catenaformis	Campylobacter curvus	0.816496580928	Mixed	#cccccc
172	Eikenella corrodens	Actinomyces dentalis	0.836660026534	Subgingival_plaque	#ffac5c
173	Eikenella corrodens	Actinomyces gerencseriae	1.0	Subgingival_plaque	#ffac5c
174	Eikenella corrodens	Actinomyces johnsonii	1.0	Subgingival_plaque	#ffac5c
175	Eikenella corrodens	Actinomyces massiliensis	1.0	Mixed	#cccccc
176	Eikenella corrodens	Actinomyces meyeri	1.0	Subgingival_plaque	#ffac5c
177	Eikenella corrodens	Actinomyces naeslundii	1.0	Mixed	#cccccc
178	Eikenella corrodens	Actinomyces sp. oral taxon 170	1.0	Mixed	#cccccc
179	Eikenella corrodens	Actinomyces sp. oral taxon 171	1.0	Mixed	#cccccc
180	Eikenella corrodens	Actinomyces sp. oral taxon 175	1.0	Mixed	#cccccc
181	Eikenella corrodens	Actinomyces sp. oral taxon 848	1.0	Mixed	#cccccc
182	Eikenella corrodens	Aggregatibacter actinomycetemcomitans	0.836660026534	Mixed	#cccccc
183	Eikenella corrodens	Aggregatibacter aphrophilus	1.0	Mixed	#cccccc
184	Eikenella corrodens	Aggregatibacter segnis	1.0	Mixed	#cccccc
185	Eikenella corrodens	Cardiobacterium valvarum	1.0	Subgingival_plaque	#ffac5c
186	Eikenella corrodens	Corynebacterium durum	1.0	Mixed	#cccccc
187	Escherichia coli	Brochothrix thermosphacta	1.0	Mixed	#cccccc
188	Escherichia coli	Carnobacterium divergens	1.0	Mixed	#cccccc
189	[Eubacterium] eligens	Alistipes shahii	1.0	Stool	#e8cb72
190	[Eubacterium] eligens	Bacteroides dorei	1.0	Stool	#e8cb72
191	[Eubacterium] eligens	Bacteroides intestinalis	1.0	Stool	#e8cb72
192	[Eubacterium] eligens	Bacteroides uniformis	1.0	Stool	#e8cb72
193	[Eubacterium] eligens	Capnocytophaga sp. oral taxon 335	1.0	Mixed	#cccccc
194	[Eubacterium] eligens	Clostridium sp. L2-50	1.0	Stool	#e8cb72
195	[Eubacterium] nodatum	Bacteroides pyogenes	0.836660026534	Mixed	#cccccc
196	[Eubacterium] nodatum	Campylobacter curvus	1.0	Mixed	#cccccc
197	[Eubacterium] nodatum	Campylobacter sp. FOBRC14	0.816496580928	Mixed	#cccccc
198	[Eubacterium] nodatum	Cryptobacterium curtum	0.816496580928	Mixed	#cccccc
199	[Eubacterium] nodatum	Eggerthia catenaformis	0.816496580928	Subgingival_plaque	#ffac5c
200	[Eubacterium] rectale	Alistipes putredinis	1.0	Stool	#e8cb72
201	[Eubacterium] rectale	Bacteroides caccae	0.816496580928	Stool	#e8cb72
202	[Eubacterium] rectale	Bacteroides massiliensis	0.816496580928	Stool	#e8cb72
203	[Eubacterium] rectale	Bacteroides stercoris	1.0	Stool	#e8cb72
204	[Eubacterium] rectale	Bacteroides vulgatus	0.816496580928	Stool	#e8cb72
205	[Eubacterium] siraeum	Alistipes putredinis	0.816496580928	Stool	#e8cb72
206	[Eubacterium] siraeum	Bacteroides stercoris	0.816496580928	Stool	#e8cb72
207	[Eubacterium] siraeum	[Eubacterium] rectale	0.816496580928	Stool	#e8cb72
208	[Eubacterium] yurii	Acinetobacter baumannii	1.0	Mixed	#cccccc
209	[Eubacterium] yurii	Aggregatibacter actinomycetemcomitans	0.845154254729	Mixed	#cccccc
210	[Eubacterium] yurii	Capnocytophaga sp. oral taxon 324	1.0	Subgingival_plaque	#ffac5c
211	[Eubacterium] yurii	Capnocytophaga sp. oral taxon 336	0.845154254729	Subgingival_plaque	#ffac5c
212	[Eubacterium] yurii	Capnocytophaga sp. oral taxon 412	1.0	Mixed	#cccccc
213	[Eubacterium] yurii	Cardiobacterium hominis	1.0	Subgingival_plaque	#ffac5c
214	Faecalibacterium prausnitzii	Alistipes putredinis	1.0	Stool	#e8cb72
215	Faecalibacterium prausnitzii	Bacteroides caccae	0.816496580928	Stool	#e8cb72
216	Faecalibacterium prausnitzii	Bacteroides massiliensis	0.816496580928	Stool	#e8cb72
217	Faecalibacterium prausnitzii	Bacteroides stercoris	1.0	Stool	#e8cb72
218	Faecalibacterium prausnitzii	Bacteroides vulgatus	0.816496580928	Stool	#e8cb72
219	Faecalibacterium prausnitzii	[Eubacterium] rectale	1.0	Stool	#e8cb72
220	Faecalibacterium prausnitzii	[Eubacterium] siraeum	0.816496580928	Stool	#e8cb72
221	Fusobacterium hwasookii	Capnocytophaga ochracea	1.0	Supragingival_plaque	#ff8646
222	Fusobacterium sp. OBRC1	Fusobacterium sp. CM22	0.816496580928	Mixed	#cccccc
223	Gardnerella vaginalis	Brochothrix thermosphacta	1.0	Mixed	#cccccc
224	Gardnerella vaginalis	Carnobacterium divergens	1.0	Mixed	#cccccc
225	Gardnerella vaginalis	Escherichia coli	1.0	Mixed	#cccccc
226	Gemella bergeri	Actinomyces timonensis	1.0	Mixed	#cccccc
227	Gemella bergeri	Campylobacter mucosalis	1.0	Mixed	#cccccc
228	Gemella bergeri	Corynebacterium sp. GD7	1.0	Mixed	#cccccc
229	Haemophilus parahaemolyticus	Actinomyces dentalis	0.836660026534	Mixed	#cccccc
230	Haemophilus parahaemolyticus	Actinomyces gerencseriae	1.0	Mixed	#cccccc
231	Haemophilus parahaemolyticus	Actinomyces johnsonii	1.0	Mixed	#cccccc
232	Haemophilus parahaemolyticus	Actinomyces massiliensis	1.0	Mixed	#cccccc
233	Haemophilus parahaemolyticus	Actinomyces meyeri	1.0	Mixed	#cccccc
234	Haemophilus parahaemolyticus	Actinomyces naeslundii	1.0	Mixed	#cccccc
235	Haemophilus parahaemolyticus	Actinomyces sp. oral taxon 170	1.0	Mixed	#cccccc
236	Haemophilus parahaemolyticus	Actinomyces sp. oral taxon 171	1.0	Mixed	#cccccc
237	Haemophilus parahaemolyticus	Actinomyces sp. oral taxon 175	1.0	Mixed	#cccccc
238	Haemophilus parahaemolyticus	Actinomyces sp. oral taxon 848	1.0	Mixed	#cccccc
239	Haemophilus parahaemolyticus	Aggregatibacter actinomycetemcomitans	0.836660026534	Mixed	#cccccc
240	Haemophilus parahaemolyticus	Aggregatibacter aphrophilus	1.0	Mixed	#cccccc
241	Haemophilus parahaemolyticus	Aggregatibacter segnis	1.0	Mixed	#cccccc
242	Haemophilus parahaemolyticus	Cardiobacterium valvarum	1.0	Mixed	#cccccc
243	Haemophilus parahaemolyticus	Corynebacterium durum	1.0	Mixed	#cccccc
244	Haemophilus parahaemolyticus	Eikenella corrodens	1.0	Mixed	#cccccc
245	Haemophilus paraphrohaemolyticus	Acinetobacter baumannii	1.0	Mixed	#cccccc
246	Haemophilus paraphrohaemolyticus	Aggregatibacter actinomycetemcomitans	0.845154254729	Buccal_mucosa	#445cfb
247	Haemophilus paraphrohaemolyticus	Capnocytophaga sp. oral taxon 324	1.0	Mixed	#cccccc
248	Haemophilus paraphrohaemolyticus	Capnocytophaga sp. oral taxon 336	0.845154254729	Mixed	#cccccc
249	Haemophilus paraphrohaemolyticus	Capnocytophaga sp. oral taxon 412	1.0	Mixed	#cccccc
250	Haemophilus paraphrohaemolyticus	Cardiobacterium hominis	1.0	Mixed	#cccccc
251	Haemophilus paraphrohaemolyticus	[Eubacterium] yurii	1.0	Mixed	#cccccc
252	[Haemophilus] parasuis	Alistipes putredinis	0.816496580928	Mixed	#cccccc
253	[Haemophilus] parasuis	Bacteroides stercoris	0.816496580928	Mixed	#cccccc
254	[Haemophilus] parasuis	[Eubacterium] rectale	0.816496580928	Mixed	#cccccc
255	[Haemophilus] parasuis	Faecalibacterium prausnitzii	0.816496580928	Mixed	#cccccc
256	Haemophilus sp. C1	Acinetobacter baumannii	1.0	Mixed	#cccccc
257	Haemophilus sp. C1	Aggregatibacter actinomycetemcomitans	0.845154254729	Buccal_mucosa	#445cfb
258	Haemophilus sp. C1	Capnocytophaga sp. oral taxon 324	1.0	Mixed	#cccccc
259	Haemophilus sp. C1	Capnocytophaga sp. oral taxon 336	0.845154254729	Mixed	#cccccc
260	Haemophilus sp. C1	Capnocytophaga sp. oral taxon 412	1.0	Mixed	#cccccc
261	Haemophilus sp. C1	Cardiobacterium hominis	1.0	Mixed	#cccccc
262	Haemophilus sp. C1	[Eubacterium] yurii	1.0	Mixed	#cccccc
263	Haemophilus sp. C1	Haemophilus paraphrohaemolyticus	1.0	Buccal_mucosa	#445cfb
264	Haemophilus sputorum	Actinomyces dentalis	0.836660026534	Mixed	#cccccc
265	Haemophilus sputorum	Actinomyces gerencseriae	1.0	Mixed	#cccccc
266	Haemophilus sputorum	Actinomyces johnsonii	1.0	Mixed	#cccccc
267	Haemophilus sputorum	Actinomyces massiliensis	1.0	Mixed	#cccccc
268	Haemophilus sputorum	Actinomyces meyeri	1.0	Mixed	#cccccc
269	Haemophilus sputorum	Actinomyces naeslundii	1.0	Mixed	#cccccc
270	Haemophilus sputorum	Actinomyces sp. oral taxon 170	1.0	Mixed	#cccccc
271	Haemophilus sputorum	Actinomyces sp. oral taxon 171	1.0	Mixed	#cccccc
272	Haemophilus sputorum	Actinomyces sp. oral taxon 175	1.0	Mixed	#cccccc
273	Haemophilus sputorum	Actinomyces sp. oral taxon 848	1.0	Mixed	#cccccc
274	Haemophilus sputorum	Aggregatibacter actinomycetemcomitans	0.836660026534	Mixed	#cccccc
275	Haemophilus sputorum	Aggregatibacter aphrophilus	1.0	Saliva	#cbe486
276	Haemophilus sputorum	Aggregatibacter segnis	1.0	Mixed	#cccccc
277	Haemophilus sputorum	Cardiobacterium valvarum	1.0	Mixed	#cccccc
278	Haemophilus sputorum	Corynebacterium durum	1.0	Mixed	#cccccc
279	Haemophilus sputorum	Eikenella corrodens	1.0	Mixed	#cccccc
280	Haemophilus sputorum	Haemophilus parahaemolyticus	1.0	Mixed	#cccccc
281	Hallella seregens	Alistipes shahii	1.0	Mixed	#cccccc
282	Hallella seregens	Bacteroides dorei	1.0	Mixed	#cccccc
283	Hallella seregens	Bacteroides intestinalis	1.0	Mixed	#cccccc
284	Hallella seregens	Bacteroides uniformis	1.0	Mixed	#cccccc
285	Hallella seregens	Capnocytophaga sp. oral taxon 335	1.0	Mixed	#cccccc
286	Hallella seregens	Clostridium sp. L2-50	1.0	Mixed	#cccccc
287	Hallella seregens	[Eubacterium] eligens	1.0	Mixed	#cccccc
288	Johnsonella ignava	Actinomyces dentalis	0.836660026534	Subgingival_plaque	#ffac5c
289	Johnsonella ignava	Actinomyces gerencseriae	1.0	Subgingival_plaque	#ffac5c
290	Johnsonella ignava	Actinomyces johnsonii	1.0	Subgingival_plaque	#ffac5c
291	Johnsonella ignava	Actinomyces massiliensis	1.0	Mixed	#cccccc
292	Johnsonella ignava	Actinomyces meyeri	1.0	Subgingival_plaque	#ffac5c
293	Johnsonella ignava	Actinomyces naeslundii	1.0	Mixed	#cccccc
294	Johnsonella ignava	Actinomyces sp. oral taxon 170	1.0	Mixed	#cccccc
295	Johnsonella ignava	Actinomyces sp. oral taxon 171	1.0	Mixed	#cccccc
296	Johnsonella ignava	Actinomyces sp. oral taxon 175	1.0	Mixed	#cccccc
297	Johnsonella ignava	Actinomyces sp. oral taxon 848	1.0	Mixed	#cccccc
298	Johnsonella ignava	Aggregatibacter actinomycetemcomitans	0.836660026534	Mixed	#cccccc
299	Johnsonella ignava	Aggregatibacter aphrophilus	1.0	Mixed	#cccccc
300	Johnsonella ignava	Aggregatibacter segnis	1.0	Mixed	#cccccc
301	Johnsonella ignava	Cardiobacterium valvarum	1.0	Subgingival_plaque	#ffac5c
302	Johnsonella ignava	Corynebacterium durum	1.0	Mixed	#cccccc
303	Johnsonella ignava	Eikenella corrodens	1.0	Subgingival_plaque	#ffac5c
304	Johnsonella ignava	Haemophilus parahaemolyticus	1.0	Mixed	#cccccc
