	source	target	weight	edge_sample	edge_color
0	Acidovorax temperans	Acidovorax caeni	1.0	Mixed	#cccccc
1	Actinobacillus ureae	Acinetobacter baumannii	0.801783725737	Keratinized_gingiva	#17cbe4
2	Actinobaculum sp. oral taxon 183	Acinetobacter johnsonii	1.0	Mixed	#cccccc
3	Actinomyces dentalis	Acinetobacter johnsonii	1.0	Mixed	#cccccc
4	Actinomyces dentalis	Actinobaculum sp. oral taxon 183	1.0	Subgingival_plaque	#ffac5c
5	Actinomyces gerencseriae	Actinomyces georgiae	1.0	Subgingival_plaque	#ffac5c
6	Actinomyces graevenitzii	Actinomyces georgiae	1.0	Mixed	#cccccc
7	Actinomyces graevenitzii	Actinomyces gerencseriae	1.0	Mixed	#cccccc
8	Actinomyces johnsonii	Actinomyces georgiae	1.0	Subgingival_plaque	#ffac5c
9	Actinomyces johnsonii	Actinomyces gerencseriae	1.0	Subgingival_plaque	#ffac5c
10	Actinomyces johnsonii	Actinomyces graevenitzii	1.0	Mixed	#cccccc
11	Actinomyces massiliensis	Actinomyces georgiae	1.0	Mixed	#cccccc
12	Actinomyces massiliensis	Actinomyces gerencseriae	1.0	Mixed	#cccccc
13	Actinomyces massiliensis	Actinomyces graevenitzii	1.0	Mixed	#cccccc
14	Actinomyces massiliensis	Actinomyces johnsonii	1.0	Mixed	#cccccc
15	Actinomyces naeslundii	Actinomyces georgiae	1.0	Mixed	#cccccc
16	Actinomyces naeslundii	Actinomyces gerencseriae	1.0	Mixed	#cccccc
17	Actinomyces naeslundii	Actinomyces graevenitzii	1.0	Mixed	#cccccc
18	Actinomyces naeslundii	Actinomyces johnsonii	1.0	Mixed	#cccccc
19	Actinomyces naeslundii	Actinomyces massiliensis	1.0	Supragingival_plaque	#ff8646
20	Actinomyces oris	Actinomyces georgiae	1.0	Mixed	#cccccc
21	Actinomyces oris	Actinomyces gerencseriae	1.0	Mixed	#cccccc
22	Actinomyces oris	Actinomyces graevenitzii	1.0	Mixed	#cccccc
23	Actinomyces oris	Actinomyces johnsonii	1.0	Mixed	#cccccc
24	Actinomyces oris	Actinomyces massiliensis	1.0	Supragingival_plaque	#ff8646
25	Actinomyces oris	Actinomyces naeslundii	1.0	Supragingival_plaque	#ff8646
26	Actinomyces sp. HPA0247	Acinetobacter johnsonii	1.0	Mixed	#cccccc
27	Actinomyces sp. HPA0247	Actinobaculum sp. oral taxon 183	1.0	Mixed	#cccccc
28	Actinomyces sp. HPA0247	Actinomyces dentalis	1.0	Mixed	#cccccc
29	Actinomyces sp. ICM47	Actinomyces sp. ICM39	0.816496580928	Tongue_dorsum	#ff2f18
30	Actinomyces sp. ICM54	Acinetobacter johnsonii	1.0	Mixed	#cccccc
31	Actinomyces sp. ICM54	Actinobaculum sp. oral taxon 183	1.0	Mixed	#cccccc
32	Actinomyces sp. ICM54	Actinomyces dentalis	1.0	Mixed	#cccccc
33	Actinomyces sp. ICM54	Actinomyces sp. HPA0247	1.0	Tongue_dorsum	#ff2f18
34	Actinomyces sp. ICM58	Acinetobacter johnsonii	1.0	Mixed	#cccccc
35	Actinomyces sp. ICM58	Actinobaculum sp. oral taxon 183	1.0	Mixed	#cccccc
36	Actinomyces sp. ICM58	Actinomyces dentalis	1.0	Mixed	#cccccc
37	Actinomyces sp. ICM58	Actinomyces sp. HPA0247	1.0	Tongue_dorsum	#ff2f18
38	Actinomyces sp. ICM58	Actinomyces sp. ICM54	1.0	Tongue_dorsum	#ff2f18
39	Actinomyces sp. oral taxon 170	Actinomyces georgiae	1.0	Mixed	#cccccc
40	Actinomyces sp. oral taxon 170	Actinomyces gerencseriae	1.0	Mixed	#cccccc
41	Actinomyces sp. oral taxon 170	Actinomyces graevenitzii	1.0	Mixed	#cccccc
42	Actinomyces sp. oral taxon 170	Actinomyces johnsonii	1.0	Mixed	#cccccc
