	source	target	weight	source_freq	target_freq	first_sample	second_sample	edge_sample	fscolor	sscolor	edcolor	num_samps
0	Acidaminococcales	Acholeplasmatales	2.0	7	3	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
1	Acholeplasmatales	Acidaminococcales	2.0	3	7	Stool	Stool	Stool	#b2f396	#b2f396	#b2f396	61
2	Campylobacterales	Bacteroidales	10.0	37	60	Supragingival_plaque	Stool	Intertype	#ff964f	#b2f396	#cccccc	61
3	Bacteroidales	Campylobacterales	10.0	60	37	Stool	Supragingival_plaque	Intertype	#b2f396	#ff964f	#cccccc	61
4	Coriobacteriales	Clostridiales	5.0	40	58	Posterior_fornix	Stool	Intertype	#4df3ce	#b2f396	#cccccc	61
5	Clostridiales	Coriobacteriales	5.0	58	40	Stool	Posterior_fornix	Intertype	#b2f396	#4df3ce	#cccccc	61
6	Erysipelotrichales	Clostridiales	6.0	41	58	Throat	Stool	Intertype	#ff5029	#b2f396	#cccccc	61
7	Clostridiales	Erysipelotrichales	6.0	58	41	Stool	Throat	Intertype	#b2f396	#ff5029	#cccccc	61
8	Flavobacteriales	Campylobacterales	7.0	35	37	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	61
9	Campylobacterales	Flavobacteriales	7.0	37	35	Supragingival_plaque	Supragingival_plaque	Supragingival_plaque	#ff964f	#ff964f	#ff964f	61
10	Fusobacteriales	Actinomycetales	8.0	33	44	Tongue_dorsum	Supragingival_plaque	Intertype	#ff0000	#ff964f	#cccccc	61
11	Actinomycetales	Fusobacteriales	8.0	44	33	Supragingival_plaque	Tongue_dorsum	Intertype	#ff964f	#ff0000	#cccccc	61
12	Fusobacteriales	Campylobacterales	11.0	33	37	Tongue_dorsum	Supragingival_plaque	Intertype	#ff0000	#ff964f	#cccccc	61
13	Campylobacterales	Fusobacteriales	11.0	37	33	Supragingival_plaque	Tongue_dorsum	Intertype	#ff964f	#ff0000	#cccccc	61
14	Neisseriales	Micrococcales	8.0	36	42	Throat	Buccal_mucosa	Intertype	#ff5029	#1996f3	#cccccc	61
15	Micrococcales	Neisseriales	8.0	42	36	Buccal_mucosa	Throat	Intertype	#1996f3	#ff5029	#cccccc	61
16	Propionibacteriales	Micrococcales	6.0	40	42	Anterior_nares	Buccal_mucosa	Intertype	#8000ff	#1996f3	#cccccc	61
17	Micrococcales	Propionibacteriales	6.0	42	40	Buccal_mucosa	Anterior_nares	Intertype	#1996f3	#8000ff	#cccccc	61
18	Propionibacteriales	Neisseriales	5.0	40	36	Anterior_nares	Throat	Intertype	#8000ff	#ff5029	#cccccc	61
